Filename,Initial Clause Count,Processed Clause Count,Unprocessed Clause Count,Factor Count,Resolvent Count,Tautologies Deleted,Resolution Result
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD073-3.p,31,511,254242,1136,253610,24,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD020-1.p,31,830,190352,1495,189671,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD059-4.p,31,511,248904,1103,248301,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD030-3.p,31,511,244201,1095,243606,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD082-1.p,33,841,190818,1469,190172,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD026-3.p,31,506,242853,1102,242246,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD077-2.p,38,897,207802,904,207772,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD021-3.p,30,512,258055,1126,257435,24,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD008-3.p,29,487,234134,1094,233518,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD067-2.p,33,851,196315,1300,195848,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD072-1.p,32,826,184889,1420,184278,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD038-3.p,31,501,237453,1097,236846,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD076-2.p,38,886,202615,845,202633,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD023-1.p,31,836,191466,1539,190747,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD098-2.p,42,873,187705,753,187798,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD098-3.p,31,512,251899,1123,251281,24,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD021-1.p,31,835,191127,1536,190410,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD057-3.p,27,477,250543,1177,249842,26,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD060-1.p,31,835,191068,1533,190354,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD054-3.p,31,512,248173,1120,247554,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD031-1.p,31,826,180899,1592,180117,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD008-2.p,34,846,193514,1015,193326,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD082-3.p,32,492,220270,1053,219695,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD033-1.p,32,835,191075,1505,190388,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD041-2.p,34,850,196255,1246,195840,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD091-1.p,31,835,183232,1603,182448,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD048-4.p,43,592,230872,865,230562,6,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD004-1.p,31,830,190836,1514,190136,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD092-3.p,30,500,252458,1156,251796,24,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD102-1.p,26,462,238465,1149,237776,24,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD035-3.p,34,533,239603,1033,239087,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD060-4.p,34,527,234958,1021,234446,16,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD030-4.p,33,530,246349,1065,245799,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD061-3.p,33,519,237204,1070,236639,19,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD071-1.p,32,846,192557,1527,191859,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD051-3.p,34,533,239643,1074,239086,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD080-1.p,29,835,183439,1631,182629,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD074-1.p,33,853,196678,1300,196213,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD009-3.p,30,507,252145,1139,251507,24,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD041-1.p,32,833,191130,1469,190477,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD098-4.p,41,575,225392,862,225071,7,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD059-3.p,29,490,245092,1134,244443,24,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD078-2.p,35,849,191847,1197,191479,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD053-1.p,34,865,204036,1117,203765,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD046-3.p,29,494,248639,1146,247982,24,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD066-3.p,35,536,233818,996,233337,14,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD026-1.p,32,834,190571,1495,189893,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD075-2.p,37,898,208979,938,208917,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD101-1.p,27,834,179793,1873,178742,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD050-2.p,39,879,186754,808,186801,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD012-1.p,32,832,191361,1489,190687,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD095-4.p,46,605,232272,859,231978,6,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD015-3.p,30,503,247629,1105,247017,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD030-1.p,32,848,196477,1315,195993,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD090-1.p,30,812,177533,1583,176747,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD053-4.p,47,611,235180,861,234889,6,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD059-1.p,30,837,183056,1614,182264,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD073-4.p,33,509,229189,1043,228640,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD044-4.p,31,509,242300,1094,241704,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD024-1.p,31,826,187719,1479,187050,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD068-1.p,31,833,189840,1508,189149,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD091-3.p,30,500,252457,1156,251795,24,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD089-3.p,30,502,255916,1164,255249,25,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD036-1.p,33,851,197750,1306,197277,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD051-1.p,35,869,205154,1108,204895,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD040-3.p,29,501,255166,1133,254529,24,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD035-1.p,33,851,197750,1306,197277,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD094-1.p,31,837,183720,1605,182936,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD029-1.p,35,870,202850,1105,202595,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD083-1.p,33,840,190909,1479,190252,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD012-2.p,36,859,197540,1018,197360,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD006-3.p,27,474,245124,1162,244434,25,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD099-3.p,31,496,240691,1112,240065,21,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD067-1.p,31,837,191713,1539,190995,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD076-4.p,37,545,230068,984,229605,13,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD078-3.p,32,521,256263,1134,255642,24,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD075-1.p,33,851,196303,1300,195836,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD079-1.p,33,840,190172,1463,189531,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD025-3.p,33,526,240769,1046,240234,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD032-3.p,30,507,260718,1170,260050,25,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD049-1.p,35,867,203174,1099,202922,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD092-1.p,31,845,185933,1627,185135,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD083-3.p,32,512,246361,1112,245749,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD093-1.p,31,835,183213,1603,182429,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD047-3.p,32,513,237458,1093,236866,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD060-2.p,35,873,202468,1108,202213,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD071-3.p,31,509,247394,1113,246780,21,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD100-1.p,32,836,189761,1495,189085,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD100-3.p,31,507,248818,1117,248199,22,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD099-1.p,32,844,183206,1605,182428,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD063-3.p,30,497,241685,1108,241065,21,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD047-2.p,39,902,201716,835,201759,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD050-3.p,34,530,235166,1039,234641,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD041-4.p,33,535,254150,1090,253581,19,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD081-2.p,40,889,186333,803,186394,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD012-4.p,35,532,230145,1009,229647,14,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD100-2.p,42,916,199058,796,199151,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD041-3.p,31,524,260837,1132,260220,22,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD009-1.p,31,830,190924,1514,190224,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD005-1.p,30,827,190064,1533,189343,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD061-1.p,34,869,202662,1120,202392,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD063-1.p,31,835,190978,1533,190264,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD068-4.p,32,524,253300,1096,252716,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD044-2.p,34,867,202050,1117,201781,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD045-1.p,30,827,189930,1533,189209,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD046-1.p,30,854,190633,1685,189787,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD055-3.p,32,522,252700,1096,252114,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD061-4.p,37,560,244338,998,243877,14,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD031-3.p,30,490,237272,1106,236647,21,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD081-1.p,36,881,203352,1099,203113,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD077-3.p,33,515,237348,1085,236765,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD074-3.p,32,513,241564,1091,240974,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD010-3.p,28,490,259292,1199,258581,26,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD086-3.p,30,503,253808,1157,253148,24,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD044-1.p,30,828,190199,1536,189476,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD051-2.p,45,900,210520,741,210646,12,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD006-1.p,28,826,177341,1786,176368,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD025-2.p,38,883,186799,825,186834,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD072-4.p,33,530,254781,1099,254199,20,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD054-1.p,32,829,189811,1463,189160,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD018-1.p,30,820,180247,1589,179463,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD090-3.p,29,493,244806,1129,244163,22,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD097-4.p,41,573,222492,850,222181,7,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD018-3.p,29,476,224902,1073,224294,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD048-3.p,33,512,221844,1024,221315,16,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD095-3.p,36,371,131779,814,131306,6,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD068-2.p,33,837,189444,1203,189060,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD060-3.p,30,473,213202,1047,212616,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD034-3.p,30,464,201197,999,200647,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD075-4.p,36,508,197037,891,196626,8,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD095-2.p,47,802,183015,663,183117,10,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD017-3.p,33,511,222535,991,222036,14,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD049-3.p,34,514,216907,997,216404,14,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD075-3.p,32,475,197427,977,196907,14,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD056-3.p,28,449,202770,1041,202168,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD043-3.p,30,467,200231,991,199691,14,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD071-2.p,34,702,130453,753,130383,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD054-2.p,38,811,165082,778,165092,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD034-1.p,31,749,158749,1065,158417,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD019-1.p,30,729,152706,1233,152187,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD068-3.p,30,459,194589,986,194046,14,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD045-2.p,34,852,196047,1046,195834,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD073-1.p,32,769,163873,1118,163507,15,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD085-3.p,33,434,153347,837,152918,7,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD031-5.p,30,465,206266,1021,205698,18,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD052-2.p,49,783,195696,636,195803,9,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD013-2.p,36,608,120102,619,120064,9,Time Out
/work/rpanta/TPTP-v8.1.2/Problems/FLD/FLD080-3.p,28,458,212774,1068,212155,19,Time Out
